City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Ushuaia,-54.8061,-68.3185,35.29,80,40,1.14,AR,1659622809
Asunción,-25.28,-57.6344,68.14,77,75,12.66,PY,1659622810
Broome,-17.9567,122.224,64.29,88,9,3.44,AU,1659622811
Georgetown,6.8137,-58.1624,79.09,100,75,2.3,GY,1659622811
Bredasdorp,-34.5331,20.0428,65.79,52,65,4.27,ZA,1659622812
Boroko,-9.4743,147.16,77.95,89,20,2.3,PG,1659622813
Cockburn Town,21.4608,-71.14,82.02,76,6,18.41,TC,1659622813
Barrow,71.2906,-156.7886,48.34,74,100,11.18,US,1659622814
Bluff,-46.6014,168.3399,57.92,79,100,15.37,NZ,1659622815
Mugumu,-1.8336,34.6607,76.91,37,91,1.28,TZ,1659622816
Cornwall,46.2239,-63.2572,76.24,68,75,11.5,CA,1659622816
Tegul'det,57.3064,88.1672,52.77,90,97,2.89,RU,1659622817
Puerto Ayora,-0.7472,-90.3134,72.21,78,98,1.99,EC,1659622817
Hibbing,47.4272,-92.9377,64.56,77,0,3.44,US,1659622683
Williamsburg,37.2104,-76.7739,87.44,83,0,3.44,US,1659622819
Busselton,-33.6445,115.3489,52.03,74,100,7.74,AU,1659622819
Isangel,-19.5411,169.2811,73.92,89,7,5.37,VU,1659622820
Maniitsoq,65.4175,-52.8968,43.11,93,100,31.43,GL,1659622820
Los Llanos de Aridane,28.6593,-17.9152,75.13,76,40,16.11,ES,1659622821
Saint-Leu,-21.1678,55.2882,71.71,79,71,4.99,RE,1659622822
Atuona,-9.7793,-139.0619,67.39,74,3,20.04,PF,1659622822
Punta Arenas,-53.1626,-70.9078,37.69,93,75,4.61,CL,1659622823
Kamaishi,39.2757,141.8858,67.64,90,100,4.56,JP,1659622824
Thompson,55.7435,-97.8558,57.36,62,20,8.05,CA,1659622741
Pangnirtung,66.148,-65.7173,53.85,66,40,9.22,CA,1659622825
Vaini,-21.1926,-175.1773,75.49,88,40,6.91,TO,1659622825
Chokurdakh,70.6194,147.9024,45.23,70,100,12.86,RU,1659622826
Qaanaaq,77.4686,-69.2223,42.3,63,10,3.62,GL,1659622826
Castro,45.803,10.0671,97.2,49,14,7.0,IT,1659622827
Krasnyy Bor,59.7035,30.7861,83.88,31,60,7.76,RU,1659622828
Vila Velha,-20.3297,-40.292,82.35,63,20,13.8,BR,1659622828
Ribeira Grande Municipality,37.8225,-25.5195,77.34,83,40,11.5,PT,1659622829
Coburg,50.2581,10.9645,98.96,27,50,1.99,DE,1659622830
St. George's,12.0535,-61.7518,83.28,79,20,23.02,GD,1659622830
Sovetsk,55.081,21.8883,81.88,46,3,9.53,RU,1659622831
Musoma,-1.4998,33.8083,75.74,58,26,9.22,TZ,1659622831
Mahébourg,-20.4111,57.7061,71.98,73,40,11.5,MU,1659622832
Port Alfred,-33.5982,26.8915,62.06,85,67,5.01,ZA,1659622833
Balclutha,-46.2817,169.8464,44.33,87,100,5.26,NZ,1659622833
New Norfolk,-42.7802,147.0615,47.95,57,100,2.71,AU,1659622834
East London,-33.0192,27.8999,66.54,69,75,12.01,ZA,1659622835
Altay,47.8258,88.1292,72.32,38,29,6.02,CN,1659622835
Tessalit,20.202,1.0125,106.09,10,0,9.51,ML,1659622836
Rikitea,-23.123,-134.968,68.95,81,100,17.02,PF,1659622837
Saldanha,-32.9978,17.9456,61.07,66,50,10.87,ZA,1659622837
Dingle,52.1408,-10.2689,59.68,65,8,14.52,IE,1659622838
Tasiilaq,65.6153,-37.6378,41.5,78,100,2.8,GL,1659622838
Limanancong,11.0055,119.3061,82.58,77,100,6.04,PH,1659622839
Kashechewan,52.9244,-82.427,62.6,59,0,10.36,CA,1659622840
Portland,45.5203,-122.6742,61.61,82,80,5.99,US,1659622450
Asău,46.4389,26.4008,79.68,53,89,5.59,RO,1659622841
Bethel,60.7922,-161.7558,48.54,95,100,14.97,US,1659622841
Porbandar,21.6409,69.611,84.33,72,97,9.93,IN,1659622842
Fairbanks,64.8378,-147.7167,48.16,90,0,4.61,US,1659622843
